시도,시군구,건강증진센터명,건강증진센터구분,소재지도로명주소,위도,경도,건강증진업무내용,운영기관전화번호,건강증진사업내용
전라남도,신안군,가거도건강증진센터,건강증진,전라남도 신안군 흑산면 가거도길 36,34.052388,125.1266341,"의과, 치과, 한의과 진료",061-246-3585,
전라남도,신안군,홍도건강증진센터,건강증진,전라남도 신안군 흑산면 홍도 1길 32,34.68315259,125.191718,"의과, 치과, 한의과 진료",061-246-3701,
전라북도,장수군,장계면건강생활지원센터,건강증진,전라북도 장수군 장계면 한들로 124,35.73113068,127.5856752,만성질환예방및건강한생활습관 형성 지원,063-352-8700,
인천광역시,남동구,남동구정신건강복지센터,정신보건,"인천광역시 남동구 인주대로 819, 6층",37.4488382,126.728235,"만성정신질환관리사업, 정신건강증진사업, 아동청소년정신건강사업, 자살예방사업",032-465-6412,
경기도,시흥시,시흥시정신건강복지센터,정신보건,경기도 시흥시 호현로 55,37.44558366,126.7852959,생애주기별 정신건강증진사업/정신장애인관리사업/자살예방사업,031-316-6661,
경상남도,의령군,의령군정신건강복지센터,정신보건,경상남도 의령군 의령읍 의병로8길 16,35.3178199,128.2547693,"정신질환 예방, 상담, 치료연계, 정신질환자 주간재활프로그램 운영, 자살예방 및 정신건강증진 교육 등 군민정신건강증진 도모",055-570-4093,
인천광역시,연수구,맞춤형건강클리닉,건강증진,인천광역시 연수구 함박뫼로 13,37.41913159,126.6711606,"치매검진, 당뇨.고혈압 상담 및 검사, 뇌경색.심뇌혈관질환, 정신건강 상담",032-749-8104,
전라남도,장흥군,장흥군건강증진센터,건강증진,전라남도 장흥군 장흥읍 흥성로 49,34.67646767,126.9083343,"인바디 측정, 운동치료",061-860-6489,
울산광역시,동구,울산광역시 동구보건소 건강증진센터,건강증진,울산광역시 동구 봉수로 155,35.50506971,129.4164300357,장애인 전용 건강증진 프로그램 운영,052-209-4058,
전라북도,무주군,무주군보건의료원 건강증진센터,건강증진,전라북도 무주군 무주읍 한풍루로 413,36.0058821,127.6716991,"기초건강측정 및 상담, 운동처방, 운동프로그램 운영",063-320-8241,
경기도,하남시,하남시정신건강복지센터,정신보건,경기도 하남시 미사강변대로 200,37.5676545044,127.1858193513,"정신건강증진사업, 아동청소년정신건강증진사업, 자살예방사업, 노인자살예방사업",031-793-6552,
부산광역시,동래구,동래구정신건강복지센터,정신보건,부산광역시 동래구 명륜로187번길 56,35.21140793,129.0798561,지역정신건강증진,051-507-7306,
서울특별시,성동구,성동구정신건강복지센터,정신보건,서울특별시 성동구 행당로 12,37.5544895353,127.021461921,"정신건강증진, 중증정신질환자 관리",02-2298-1080,
경북,칠곡군,건강증진센터,건강증진,경북 칠곡군 왜관읍 관문로1길 30,35.99070797,128.4186406,ㅇ 체력진단 및 운동처방ㅇ 혈압 및 혈당 등 건강검사ㅇ 영양상담 및 운동상담ㅇ 운동프로그램 운영,054-973-4000,
광주광역시,광산구,광산구정신건강복지센터,정신보건,"광주광역시 광산구 상무대로 239-1, 3층",35.14062095,126.7932445,"정신질환자 사례관리, 정신건강증진사업, 자살예방사업 등",062-941-8567,
광주광역시,광산구,광산구중독관리통합지원센터,정신보건,"광주광역시 광산구 상무대로 287, 3층",35.14360579,126.7928318,"알코올 중독자 사례관리, 재활프로그램 등",062-714-1233,
전라남도,여수시,여수건강증진센터,건강증진,전라남도 여수시 시청서4길47(학동),34.75931552,127.6603872,"대사증후군관리사업,영양플러스사업,신체활동사업,영양관리사업",061-659-4213,
경기도,의정부시,의정부시건강증진센터,건강증진,경기도 의정부시 범골로 131,37.73615933,127.0395595,"건강증진센터 운영(개인별 맞춤형 운동처방, 운동·영양 교육 및 상담), 대사증후군 관리",031-870-6089,
경상북도,김천시,김천시정신건강복지센터,정신보건,"경상북도 김천시 체육공원길 21, 3층",36.1197327,128.1445275,정신건강증진 및 자살예방사업,054-433-4005,
충청북도,충주시,충주시건강증진센터,건강증진,충청북도 충주시 사직산21길34,36.97085167,127.9280135,"영양, 운동, 건강상담",043-850-3551,
서울특별시,구로구,서울특별시 구로정신건강복지센터,정신보건,서울특별시 구로구 새말로60,37.50321336,126.8866567,정신건강증진사업 업무전반,02-861-2284,
경상남도,통영시,통영시정신건강복지센터,정신보건,"경상남도 통영시 안개4길 108,(무전동)",34.85980836,128.4320132,정신건강증진 및 자살예방사업,055-650-6542,
경상남도,창녕군,창녕군정신건강복지센터,정신보건,경상남도 창녕군 창녕읍 우포2로 1189-35,35.5436522,128.4900857,"정신건강증진사업, 자살예방사업, 중증정신질환자 관리 등",055-530-6260,
광주광역시,북구,광주북구정신건강복지센터,정신보건,광주광역시 북구 북문대로 43,35.17518862,126.8807727,"정신건강증진, 정신장애인 및 자살예방 사례관리",062-267-5510,
경상남도,고성군,고성군정신건강복지센터,정신보건,경상남도 고성군 고성읍 남포로 79번길 103-3,34.96957375,128.3154029,"재가정신질환자등록관리, 재활프로그램운영, 정신건강교육 등 정신건강증진사업운영",055-670-4057,
부산광역시,해운대구,해운대구건강증진센터,건강증진,부산광역시 해운대구 반송로 853,35.23004498,129.1478938,예방보건 다목적 체육시설,051-717-3445,
전라남도,신안군,암태건강증진센터,건강증진,전라남도 신안군 암태면 승봉로 38,34.826233,126.1101211,"의과, 치과, 한의과 진료",061-271-1573,
전라남도,신안군,하의건강증진센터,건강증진,전라남도 신안군 하의면 하의로 250,34.605756,126.0357691,"의과, 치과, 한의과 진료",061-275-4024,
울산광역시,남구,울산광역시남구정신건강복지센터,정신보건,울산광역시 남구 삼산중로 132,35.5453601,129.3363124,"정신질환자 재활, 정신건강교육.상담.홍보, 자살예방사업",052-227-1116,
울산광역시,남구,울산광역시남구정신건강복지센터,정신보건,울산광역시 남구 삼산중로 132,35.5453601,129.3363124,"정신질환자 재활, 정신건강교육.상담.홍보, 자살예방사업",052-227-1116,
울산광역시,남구,무거건강생활지원센터,건강증진,울산광역시 남구 대학로 147번길 41-26,35.55124599,129.2596398,건강생활습관 형성지원 및 만성질환 예방관리,052-226-2340,
경기도,성남시,수정구보건소 건강증진센터,건강증진,경기도 성남시 수정구 수정로 218,37.4443296,127.1440618,"대사증후군관리, 체성분측정, 영양, 운동상담",031-729-3860,
경기도,성남시,중원구보건소 건강증진센터,건강증진,경기도 성남시 중원구 금상로 137,37.44215625,127.1705808,"대사증후군관리, 영양, 운동",031-729-3936,
경기도,성남시,분당구보건소 건강증진센터,건강증진,경기도 성남시 분당구 양현로 306,37.4110097,127.124601,"대사증후군관리, 체성분측정, 영양, 운동상담",031-729-4005,
대구광역시,달성군,달성군정신건강복지센터,정신보건,"대구광역시 달성군 옥포읍 비슬로458길 6-2, 3층",35.789593,128.471279,"정신건강증진사업, 중증정신질환자 관리사업, 자살예방사업, 아동·청소년정신건강증진사업, 통합정신건강증진사업",053-643-0199,
전라남도,곡성군,곡성군정신건강복지센터,정신보건,전라남도 곡성군 곡성읍 곡성로 854,35.27886716,127.2969046,정신보건,061-363-9917,
충청남도,태안군,태안군보건의료원 건강검진센터,건강증진,충청남도 태안군 태안읍 서해로 1952-16,36.7518786,126.3231987,국가 암 및 건강검진 등,041-671-5246,
충청북도,영동군,영동군정신건강복지센터,정신보건,충청북도 영동군 영동읍 반곡동길 7,36.16849628,127.7759673,"정신건강증진, 자살예방, 아동청소년정신보건",043-740-5929,
부산광역시,영도구,영도구 정신건강복지센터,정신보건,부산광역시 영도구 동삼북로 3(동삼동),35.08302016,129.0692231,정신건강과 자살예방 관련 상담 및 프로그램 진행,051-404-3379,
경상남도,사천시,사천시정신건강복지센터,정신보건,경상남도 사천시 용현면 시청로 77-1,35.00448215,128.0641106,지역주민 정신건강증진사업,055-831-2794,
대전광역시,유성구,유성구정신건강복지센터,정신보건,"대전광역시 유성구 박산로 177, 유성구보건소 2층",36.3538124711,127.3286409054,정신건강관리,042-825-3527,
대구광역시,서구,대구서구건강생활지원센터,건강증진,대구광역시 서구 서대구로7길 46,35.8607456,128.551449,"만성질환 상담실 및 운동 프로그램 운영, 내당권역 방문건강관리사업",053-663-3232,
경상북도,상주시,상주시정신건강복지센터,정신보건,경상북도 상주시 경상대로 3023,36.41691331,128.1508541,"중증정신질환자관리, 정신건강증진, 자살예방",054-536-0668,
대구광역시,북구,대구북구정신건강복지센터,정신보건,"대구광역시 북구 성북로 43, 4층",35.891605,128.5882723,"중증정신질환자 관리, 정신건강증진사업, 아동청소년 정신건강증진사업, 자살예방사업 등",053-353-3631,
경기도,포천시,포천시정신건강복지센터,정신보건,경기도 포천시 포천로 1612,37.90082576,127.2012628,"시민 정신건강 증진, 중증정신질환자 지역사회 통합, 자살 위험없는 안전사회 구현",031-542-0222,
경상남도,진주시,진주시 정신건강복지센터,정신보건,경상남도 진주시 문산읍 월아산로 983,35.15912752,128.163613,"주간재활프로그램, 무료상담소 운영, 정신질환 의료비 지원 등",055-749-5774,
부산광역시,기장군,기장군 정신건강증진센터,정신보건,부산광역시 기장군 정관읍 용수로 11,35.32519573,129.1793749,정신건강증진사업 자살예방사업 중증정신질환자 관리 등,051-709-2983,
경상남도,김해시,김해시정신건강복지센터,정신보건,"경상남도 김해시 주촌면 주선로 29-1, 3층",35.23477742,128.8457571,"중증정신질환관리, 자살예방 및 정신건강증진, 아동청소년 정신건강증진",055-320-5949,
부산광역시,수영구,수영구건강증진센터,건강증진,부산광역시 수영구 수영로 637-5,35.1624774,129.1134413,"운동, 영양, 비만, 건강행태개선 업무",051-752-4000,
울산광역시,북구,울산광역시 북구보건소 건강증진센터,건강증진,"울산광역시 북구 산업로 1018, 2층건강관리센터",35.58355486,129.3607258,만성질환 예방 및 관리,052-241-8168,
경기도,부천시,부천시정신건강복지센터,정신보건,경기도 부천시 성오로 172,37.5283486197,126.7960258927,"중증정신질환자관리사업, 아동청소년정신보건사업, 자살예방사업, 정신건강증진사업",032-654-4024,
경기도,양평군,양평군정신건강복지센터(부설 자살예방센터),정신보건,"경기도 양평군 양평읍 중앙로111번길 34-21, 3층",37.49662351,127.505177,"정신건강증진, 자살예방관리",031-771-3521,
경기도,오산시,건강증진센터,건강증진,경기도 오산시 경기동로 59,37.15936876,127.0778335,"대사증후군관리, 영양관리, 비만관리, 신체활동교육",031-8036-6071,
서울특별시,종로구,정신건강복지센터,정신보건,서울특별시 종로구 성균관로15길 10,37.590054,126.9976147,정신건강증진사업,02-745-0199,
서울특별시,종로구,명륜건강증진센터,건강증진,서울특별시 종로구 성균관로1길 6-3,37.5834055,126.9977661,대사증후군관리,02-2148-3735,
전라남도,나주시,진산요양원,정신보건,전라남도 나주시 노안면 노안삼도로 507-22,35.089994,126.6945442,정신요양시설운영,061-336-1911,
전라남도,나주시,빛고을정신요양원,정신보건,전라남도 나주시 다도면 다도로 287-22,34.98546561,126.8276577,정신요양시설운영,061-337-3427,
광주광역시,동구,광주동구정신건강복지센터,정신보건,광주광역시 동구 서남로 14,35.1449509557,126.9231629766,정신 건강예방서비스,062-233-0468,
광주광역시,동구,광주동구중독관리통합지원센터,정신보건,"광주광역시 동구 구성로 190, 2층",35.152598,126.913948,"중독자 등록관리, 중독예방사업",062-222-5666,
경상북도,경산시,정신건강복지센터,정신보건,경상북도 경산시 남매로 158,35.82511247,128.7432823,정신건강증진사업 및 자살예방사업,053-816-7190,
