구분,돈,시도,제목,제공유형,장소,기간,문의처
뮤지컬/오페라,유료,서울특별시,트레드밀,오프라인,CJ 아지트 대학로(구 SM아트홀),2022-09-28~2022-11-05,인터파크 1544-1555
전시,무료,서울특별시,"MZ 세대 조각가 곽인탄 개인전, ""팔레트""",오프라인,경복궁,2022-10-05~2022-11-05,info@konggallery.com
연극,유료,부산광역시,다만 사라질 뿐이다 [부산],오프라인,나다소극장,2022-10-30~2022-11-05,동그라미그리기 1577-4868
무용/발레,유료,광주광역시,"광주시립발레단 수시공연, 발레 살롱콘서트 Ⅱ",오프라인,빛고을시민문화관,2022-11-03~2022-11-05,광주시립발레단 062-415-5502
음악/콘서트,유료,대전광역시,"아트잇다 첫번째 이야기, 임오화변: 세 가지의 시선으로 음악을 그리다",오프라인,대전 아트브릿지,2022-11-03~2022-11-05,아트로 042-482-4463
뮤지컬/오페라,유료,경기도,전설의 리틀 농구단 [안산],오프라인,안산문화예술의전당,2022-11-03~2022-11-05,안산문화재단 031-481-4023
무용/발레,유료,서울특별시,구조의 구조,오프라인,대학로예술극장 대극장,2022-11-04~2022-11-05,070-8276-0917
연극,유료,경상남도,"작은 무대에 부는 바람, 아빠들의 소꿉놀이",오프라인,현장아트홀,2022-11-04~2022-11-05,한국연극협회 경상남도지회 055-746-7413
기타,무료,인천광역시,6×8(육 곱하기 팔) 그리고 6피트의 땅,오프라인,남동소래아트홀,2022-11-04~2022-11-05,010-5396-3306
연극,유료,경상남도,"작은 무대에 부는 바람, 아빠들의 소꿉놀이",오프라인,현장아트홀,2022-11-04~2022-11-05,"예술중심현장 055-746-7411, 7413"
연극,유료,경기도,클럽 베를린 [의정부],오프라인,의정부아트캠프,2022-11-04~2022-11-05,의정부 아트캠프 031-850-5134
연극,유료,광주광역시,"제25회 광주소극장축제, 목욕탕블루스",오프라인,예린소극장,2022-11-04~2022-11-05,광주소극장협회 062-222-7008 / 010-4701-7300
연극,유료,광주광역시,"제25회 광주소극장축제, 늦은행복",오프라인,예술극장 통,2022-11-04~2022-11-05,광주소극장협회 062-222-7008 / 010-4701-7300
뮤지컬/오페라,유료,경기도,백만송이의 사랑 [군포],오프라인,군포문화예술회관,2022-11-04~2022-11-05,군포문화예술회관 031-390-3500~1
국악,유료,서울특별시,흥보마누라 이혼소송사건,오프라인,성수아트홀,2022-11-04~2022-11-05,성수아트홀 02-2204-7574
뮤지컬/오페라,유료,서울특별시,"서울오페라페스티벌, 토스카",오프라인,강동아트센터,2022-11-04~2022-11-05,강동아트센터 02-440-0500
무용/발레,유료,충청남도,지젤 [공주],오프라인,공주문예회관,2022-11-04~2022-11-05,공주문예회관 041-852-0858
뮤지컬/오페라,유료,인천광역시,올 더 웨이 [인천 서구],오프라인,인천서구문화회관,2022-11-04~2022-11-05,인천서구문화회관 032-579-1150
연극,유료,경상남도,이상과 슈만 [안동],오프라인,안동문화예술의전당,2022-11-04~2022-11-05,안동문화예술의전당 054-840-3600
뮤지컬/오페라,유료,대구광역시,"제19회 대구국제오페라축제, 신데렐라",오프라인,대구오페라하우스,2022-11-04~2022-11-05,대구오페라하우스 053-666-6000 / 전화예매 1661-5946
연극,유료,부산광역시,회란기 [부산],오프라인,부산문화회관 중극장,2022-11-04~2022-11-05,부산문화회관 051-607-6000 (ARS 1번)
연극,유료,충청북도,[집밖] 후설 [충주],오프라인,충주시문화회관,2022-11-05~2022-11-05,충주시문화회관 043-850-3914
음악/콘서트,유료,서울특별시,제2회 루먼 브라스 정기연주회,오프라인,예술의전당 IBK챔버홀,2022-11-05~2022-11-05,위드클래식 02-588-6360
음악/콘서트,유료,서울특별시,쇼팽 vs 리스트,오프라인,쌀롱드무지끄,2022-11-05~2022-11-05,쌀롱드무지끄 010-8826-8364
뮤지컬/오페라,유료,경기도,뮤지컬 <전설의리틀농구단>,오프라인,안산문화예술의전당,2022-11-05~2022-11-05,031-481-4022
무용/발레,유료,부산광역시,"제34주년 부산주니어발레컴퍼니 정기공연, 콩쥐팥쥐",오프라인,영화의 전당 하늘연극장,2022-11-05~2022-11-05,영화의전당 051-780-6060
뮤지컬/오페라,무료,광주광역시,"빛고을 어린이 연극잔치, 호랑이가",오프라인,국립아시아문화의전당 어린이문화원,2022-11-05~2022-11-05,교육극단 파랑새 062-514-4328
음악/콘서트,유료,서울특별시,이은혜 & 김은총 듀오 리사이틀,오프라인,북서울 꿈의숲아트센터,2022-11-05~2022-11-05,민예술기획 010-4951-0193
뮤지컬/오페라,무료,인천광역시,엄마까투리: 마트에 간 꽁지 [인천],오프라인,인천글로벌캠퍼스 대강당,2022-11-05~2022-11-05,인구보건복지협회 인천지회 032-451-4000
뮤지컬/오페라,유료,경상남도,헤어드레서 [함양],오프라인,함양군문화예술회관,2022-11-05~2022-11-05,함양문화예술회관 055-960-6710
뮤지컬/오페라,유료,경기도,우당탕탕 잭과 꿈나무 [과천],오프라인,과천시민회관 대극장,2022-11-05~2022-11-05,과천문화재단 02-2009-9772
국악,유료,서울특별시,K Music 한마당,오프라인,베어홀,2022-11-05~2022-11-05,베어홀 1899-2771
