,시도,구분,제목,장소,기간,가격,문의처
5,경기도,뮤지컬/오페라,전설의 리틀 농구단 [안산],안산문화예술의전당,2022-11-03~2022-11-05,유료,안산문화재단 031-481-4023
10,경기도,연극,클럽 베를린 [의정부],의정부아트캠프,2022-11-04~2022-11-05,유료,의정부 아트캠프 031-850-5134
13,경기도,뮤지컬/오페라,백만송이의 사랑 [군포],군포문화예술회관,2022-11-04~2022-11-05,유료,군포문화예술회관 031-390-3500~1
24,경기도,뮤지컬/오페라,뮤지컬 <전설의리틀농구단>,안산문화예술의전당,2022-11-05~2022-11-05,유료,031-481-4022
30,경기도,뮤지컬/오페라,우당탕탕 잭과 꿈나무 [과천],과천시민회관 대극장,2022-11-05~2022-11-05,유료,과천문화재단 02-2009-9772
35,경기도,음악/콘서트,"MEG아트홀 기획연주 39, 더 패밀리 콘서트: 하모니카 판타지",MEG아트홀,2022-11-05~2022-11-05,유료,MEG아트홀 010-9458-5310
37,경기도,음악/콘서트,"토요 브런치 콘서트, 로스팅 시리즈 8: French",김포아트홀,2022-11-05~2022-11-05,유료,김포아트홀 031-996-1605
49,경기도,기타,"음악으로 그리는 일곱 가지 반 고흐, 별이 빛나는 밤에 [남양주]",다산아트홀,2022-11-05~2022-11-05,유료,"다산아트홀 031-590-4358, 4361"
54,경기도,국악,신노이 SINNOI [수원],수원SK아트리움,2022-11-05~2022-11-05,유료,수원SK아트리움 031-250-5300
55,경기도,음악/콘서트,불후의 클래식 [여주],세종국악당,2022-11-05~2022-11-05,유료,여주세종문화재단 031-881-9681
59,경기도,국악,가장무도: 일상을 위한 일탈 [광명],광명시민회관,2022-11-05~2022-11-05,유료,광명문화재단 02-2621-8845
60,경기도,음악/콘서트,"아트시그널 고양 마스터즈 3, 김주영",고양아람누리 아람음악당,2022-11-05~2022-11-05,무료,고양문화재단 1577-7766
68,경기도,국악,"k-남사당놀이, 판: 박첨지",안양아트센터,2022-11-05~2022-11-05,유료,"안양아트센터 031-687-0500, 0555"
76,경기도,뮤지컬/오페라,토끼와거북이 [수원],KBS수원아트홀,2022-09-10~2022-11-06,유료,031-216-5201
78,경기도,뮤지컬/오페라,신데렐라 [광명],소나무극장,2022-09-17~2022-11-06,유료,010-2224-2719
82,경기도,뮤지컬/오페라,앨리스 인 원더랜드 [수원],광교레이크아트홀,2022-10-15~2022-11-06,유료,광교레이크아트홀 031-216-7179
108,경기도,연극,블랙코메디 [안산],안산문화예술의전당,2022-11-05~2022-11-06,유료,010-4916-2703
131,경기도,뮤지컬/오페라,급식왕: 발가락 떡볶이의 비밀 [안산],안산문화예술의전당,2022-11-05~2022-11-06,유료,인스타컴퍼니 1522-2061
132,경기도,뮤지컬/오페라,신데렐라 [용인],용인문화예술회관,2022-11-05~2022-11-06,유료,좋은사람들 070-4045-2302
137,경기도,뮤지컬/오페라,신비아파트 시즌5: 감염된 도시의 비밀 [고양],고양어울림누리,2022-11-05~2022-11-06,유료,동그라미그리기 1577-4868
142,경기도,음악/콘서트,김포필하모닉오케스트라 창작공연: 조 강,김포아트홀,2022-11-06~2022-11-06,유료,김포필하모닉오케스트라 031-983-4150
159,경기도,뮤지컬/오페라,피노키오 [안산],안산올림픽기념관,2022-11-06~2022-11-06,유료,극단 희망 010-2258-9411
164,경기도,뮤지컬/오페라,겨울왕국: 겨울이야기 [동두천],동두천시민회관,2022-11-06~2022-11-06,유료,극단 희망 010-2258-9411
177,경기도,음악/콘서트,[집밖] 제14회 프라미스 청소년 오케스트라 정기연주회,용인포은아트홀,2022-11-08~2022-11-08,유료,프로아트 02-585-2934~6
182,경기도,음악/콘서트,펄플룻앙상블 코리아 창단연주회,성남아트센터,2022-11-08~2022-11-08,무료,010-6313-7205
226,경기도,기타,Sea Of Love,성남아트센터,2022-11-09~2022-11-10,무료,010-2394-0507
237,경기도,음악/콘서트,"남양주시립합창단 기획연주회, 힐링하러 가요 (11.10)",남양주시평내도서관,2022-11-10~2022-11-10,무료,남양주시 문화예술과 031-590-2475
246,경기도,음악/콘서트,부천필하모닉오케스트라 특별기획연주회: 콘체르토 vs 콘체르토,부천시민회관 대공연장,2022-11-10~2022-11-10,유료,032-327-7523
260,경기도,뮤지컬/오페라,로봇똥 [분당],한국잡월드 나래울극장,2022-10-21~2022-11-11,유료,010-2890-6160
261,경기도,음악/콘서트,김두민 첼로 리사이틀,성남아트리움 (구 성남시민회관),2022-11-04~2022-11-11,유료,성남아트센터 031-783-8000
267,경기도,뮤지컬/오페라,1919,누림아트홀,2022-11-11~2022-11-11,유료,누림아트홀 1899-3254
287,경기도,기타,신노이의 일루미네이션 [광명],광명시민회관,2022-11-11~2022-11-11,무료,광명문화재단 02-2621-8845
310,경기도,뮤지컬/오페라,백만송이의 사랑 [하남],하남문화예술회관,2022-11-11~2022-11-12,유료,하남문화예술회관 031-790-7979
314,경기도,음악/콘서트,시민과 청소년을 위한 열린 가을 음악회,성남아트센터 콘서트홀,2022-11-12~2022-11-12,유료,"성남청소년오케스트라 사무국 010-3996-6148, 010-6338-9952"
316,경기도,음악/콘서트,로맨틱 애프터눈 콘서트 [과천],과천시민회관 소극장,2022-11-12~2022-11-12,유료,과천문화재단 02-2009-9772
324,경기도,음악/콘서트,"Journey Piano Duo, 박선아 음민아 피아노 듀오 콘서트",성남아트센터,2022-11-12~2022-11-12,무료,성남아트센터 031-783-8000
325,경기도,음악/콘서트,애니메이션 OST 스페셜 콘서트 [수원],경기아트센터,2022-11-12~2022-11-12,유료,경기아트센터 031-230-3440
338,경기도,국악,전통창작음악집단 4인놀이 콘서트: Born Von 本 [용인],용인문화예술원(마루홀),2022-11-12~2022-11-12,유료,보름달컴퍼니 070-8959-9569
342,경기도,뮤지컬/오페라,피노키오 [용인],용인시문예회관 처인홀,2022-11-12~2022-11-12,유료,극단 희망 010-2258-9411
345,경기도,뮤지컬/오페라,겨울왕국: 겨울이야기 [고양],고양어울림누리,2022-11-12~2022-11-12,유료,극단 희망 010-2258-9411
