,시도,시군구,시설유형(소),시설명,연락처
6162,경기도,김포시,양로시설,김포실버,031-998-8109
6163,경기도,김포시,양로시설,새샘양로원,031-989-0344
6164,경기도,김포시,노인공동생활가정,사라의 집,319836675
6165,경기도,김포시,노인공동생활가정,정다운집,031-998-3218
6166,경기도,김포시,노인요양시설,한강시니어타운,319899899
6167,경기도,김포시,노인요양시설,김포미가요양원,319839883
6168,경기도,김포시,노인요양시설,우리함께요양원 김포점,319858878
6169,경기도,김포시,노인요양시설,삼성요양원,031-983-9971
6170,경기도,김포시,노인요양시설,김포예다인요양원,319843001
6171,경기도,김포시,노인요양시설,평화요양원,319978823
6172,경기도,김포시,노인요양시설,연세노인전문요양원,031-996-9906
6173,경기도,김포시,노인요양시설,실로원,031-986-6422
6174,경기도,김포시,노인요양시설,진솔요양원,319828900
6175,경기도,김포시,노인요양시설,로뎀동산,031-987-7262
6176,경기도,김포시,노인요양시설,가산 실버홈 요양원,031-997-8060
6177,경기도,김포시,노인요양시설,가족요양원,031-998-5153
6178,경기도,김포시,노인요양시설,우슬초요양원,319828162
6179,경기도,김포시,노인요양시설,주식회사 고양시니어 행복한요양원,319980075
6180,경기도,김포시,노인요양시설,미소요양원,031-986-1990
6181,경기도,김포시,노인요양시설,김포프라임요양원,319871200
6182,경기도,김포시,노인요양시설,미소담 요양원,031-982-6461
6183,경기도,김포시,노인요양시설,굿닥터 재활요양원,319882333
6184,경기도,김포시,노인요양시설,다은요양원,319966630
6185,경기도,김포시,노인요양시설,더편한요양원,319967677
6186,경기도,김포시,노인요양시설,(김포)VIP요양원,319811474
6187,경기도,김포시,노인요양시설,김포사랑요양원,031-988-1201
6188,경기도,김포시,노인요양시설,아름다운집,319879685
6189,경기도,김포시,노인요양시설,제니스 요양원,319826335
6190,경기도,김포시,노인요양시설,힐링김포요양원,319846208
6191,경기도,김포시,노인요양시설,조은요양원,319978836
6192,경기도,김포시,노인요양시설,마송더봄요양원,319968585
6193,경기도,김포시,노인요양시설,자연휴요양원,319970101
6194,경기도,김포시,노인요양시설,김포해든요양원,319874111
6195,경기도,김포시,노인요양시설,153요양원,313601530
